% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.96                     0.74                     -0.0028803212289125507   -6.50494075227262E-4     0.0029922191401148776    -9.475669014043578E-4    4.423544646315822E-6
-0.94                     0.76                     -0.0028202019701499335   -6.694923321209266E-4    0.0029971402113692417    -9.504641923656574E-4    5.926735811246271E-6
-0.9199999999999999       0.78                     -0.0027599249885996813   -6.885564687611287E-4    0.003001760710643351     -9.530377632902114E-4    6.982470996906691E-6
-0.8999999999999999       0.8                      -0.002699512757880848    -7.076809623202609E-4    0.003006045423274211     -9.552498382855955E-4    7.6139840293135376E-6
-0.8799999999999999       0.8200000000000001       -0.0026389881873818545   -7.268587488772281E-4    0.003009961382667741     -9.570670653922773E-4    7.851918220868823E-6
-0.8599999999999999       0.8400000000000001       -0.0025783743782515126   -7.460812163302045E-4    0.0030134799565043474    -9.584622425382454E-4    7.733968987851114E-6
-0.8400000000000001       0.8600000000000001       -0.0025176943464761572   -7.653382464781531E-4    0.003016578688920142     -9.594157871907078E-4    7.3041251299222716E-6
-0.8200000000000001       0.8800000000000001       -0.002456970725804099    -7.846183061945669E-4    0.003019242860133243     -9.599168862086544E-4    6.611594815039354E-6
-0.8                      0.9000000000000001       -0.002396225464306905    -8.039085845877419E-4    0.003021466691313567     -9.599642610639928E-4    5.70947938493815E-6
-0.78                     0.9199999999999999       -0.002335479528434027    -8.231951702011778E-4    0.0030232541419846124    -9.595665041509162E-4    4.653279356801876E-6
-0.76                     0.94                     -0.002274752627582177    -8.42463259703847E-4     0.0030246192714008476    -9.587419677694319E-4    3.4993296908856822E-6
-0.74                     0.96                     -0.0022140629704191996   -8.616973874467649E-4    0.0030255861533038573    -9.575181855703609E-4    2.303295689962473E-6
-0.72                     0.98                     -0.002153427063400059    -8.808816678577313E-4    0.0030261883869008624    -9.559313927207438E-4    1.118468831185863E-6
-0.7                      1                        -0.002092859484909353    -9.000000000000001E-4    0.0030264697763077303    -9.540234281383564E-4    -3.5399314394131873E-9
-1                        0.6799999999999999       -0.0030000000000000005   -5.93927159942324E-4     0.0029758966663408957    -9.372932966039774E-4    1.982535948313417E-8
-0.98                     0.7                      -0.0029403674131864943   -6.127117206263343E-4    0.0029817112953303276    -9.410051044914774E-4    2.6921522722237953E-6
-0.96                     0.72                     -0.0028805182144667515   -6.315734802115875E-4    0.002987306368174014     -9.444877178062706E-4    4.878929562321908E-6
-0.94                     0.74                     -0.0028204732446004406   -6.505107279005162E-4    0.002992649656003344     -9.476969259802499E-4    6.584469322548289E-6
-0.9199999999999999       0.76                     -0.002760254258225336    -6.695202623263323E-4    0.0029977031955231437    -9.505893764672259E-4    7.819738583449374E-6
-0.8999999999999999       0.7800000000000001       -0.002699883831829605    -6.885973566536154E-4    0.003002428394077277     -9.531231390609527E-4    8.604451632189999E-6
-0.8799999999999999       0.8                      -0.0026393851656165966   -7.077356634528075E-4    0.0030067876692771306    -9.552597534059163E-4    8.966725288662181E-6
-0.8599999999999999       0.8200000000000001       -0.0025787818394784473   -7.269271710756181E-4    0.0030107467762455625    -9.569662030181775E-4    8.94284841642124E-6
-0.8400000000000001       0.8400000000000001       -0.00251809752751539     -7.461622136195064E-4    0.0030142769359619917    -9.582166693412365E-4    8.576603450928416E-6
-0.8200000000000001       0.8600000000000001       -0.002457355684028916    -7.654295361917419E-4    0.003017356708593736     -9.589939843217139E-4    7.918213277015538E-6
-0.8                      0.8800000000000001       -0.0023965792156085725   -7.847164138753883E-4    0.003019973518886228     -9.592906958888111E-4    7.022969513613535E-6
-0.78                     0.9000000000000001       -0.002335790154586048    -8.040088195327802E-4    0.0030221247593855394    -9.591096813326311E-4    5.949625942049235E-6
-0.76                     0.9199999999999999       -0.00227500934872963     -8.232916324326787E-4    0.003023818422919005     -9.584642711222084E-4    4.758660700203421E-6
-0.74                     0.94                     -0.0022142561806568657   -8.425488769757873E-4    0.0030250732467776015    -9.573778778817823E-4    3.510520667598128E-6
-0.72                     0.96                     -0.0021535483280264987   -8.617639788143758E-4    0.0030259183727629826    -9.558831249732782E-4    2.2639940680183276E-6
