% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.1495                    0                        2.689414259955502E-4     0.00310166125218081      46.81212977319661        484.79772258550247       2.808727786391796E-4
0.1505                    0                        2.720486853613949E-4     0.003112838287599667     46.33233205060077        474.7977225902627        2.7799399230360455E-4
0.1515                    0                        2.751670645369317E-4     0.0031239010715650994    45.85753432801179        474.7977225902627        2.7514520596807064E-4
0.1525                    0                        2.782964495207073E-4     0.003134849904077113     45.38273660543089        474.7977225902627        2.722964196325853E-4
0.1535                    0                        2.8143672636126815E-4    0.0031456847851357057    44.90793888283872        474.7977225902627        2.694476332970323E-4
0.1545                    0                        2.8458778110716093E-4    0.003156405714740874     44.43314116024875        474.7977225902627        2.665988469614925E-4
0.1555                    0                        2.8774949980693213E-4    0.0031670126928926242    43.958343437659536       474.7977225902627        2.6375006062595715E-4
0.1565                    0                        2.909217685091284E-4     0.003177505719590951     43.48354571507378        474.7977225902627        2.6090127429044264E-4
0.1575                    0                        2.941044732622962E-4     0.003187884794835858     43.00874799247948        474.7977225902627        2.580524879548768E-4
0.1585                    0                        2.972975001149822E-4     0.0031981499186273395    42.53395026989165        474.7977225902627        2.552037016193498E-4
0.1595                    0                        3.005007351157331E-4     0.0032083010909654073    42.05915254730983        474.7977225902627        2.523549152838589E-4
0.1605                    0                        3.037140643630953E-4     0.0032183386118500466    41.58935482470549        464.7977225915887        2.4953612894823286E-4
0.1615                    0                        3.0693737510561537E-4    0.0032282642812812663    41.12455710210314        464.7977225915887        2.467473426126188E-4
0.1625                    0                        3.1017055574184005E-4    0.0032380783992590556    40.6597593795156         464.7977225915887        2.4395855627709352E-4
0.1635                    0                        3.1341349472031573E-4    0.0032477809657834346    40.194961656923944       464.7977225915887        2.4116976994154363E-4
0.1645                    0                        3.1666608048958907E-4    0.0032573719808543884    39.73016393433288        464.7977225915887        2.383809836059972E-4
0.1655                    0                        3.1992820149820666E-4    0.003266851444471911     39.26536621173955        464.7977225915887        2.3559219727043725E-4
0.1665                    0                        3.231997461947151E-4     0.0032762193566360153    38.800568489145995       464.7977225915887        2.328034109348759E-4
0.1675                    0                        3.2648060302766093E-4    0.0032854757173467093    38.33577076655428        464.7977225915887        2.3001462459932567E-4
0.1685                    0                        3.2977066044559064E-4    0.0032946205266039677    37.870973043958415       464.7977225915887        2.2722583826375044E-4
0.1695                    0                        3.330698068970511E-4     0.0033036537844078066    37.40617532136393        464.7977225915887        2.2443705192818353E-4
0.1705                    0                        3.3637793088058855E-4    0.003312575790758219     36.946377598725185       454.7977226002569        2.2167826559235106E-4
0.1715                    0                        3.396949220447497E-4     0.003321388345655202     36.4915798761333         454.7977226002569        2.1894947925679977E-4
0.1725                    0                        3.43020671188081E-4      0.0033300917490987642    36.03678215353275        454.7977226002569        2.1622069292119643E-4
0.1735                    0                        3.463550691591293E-4     0.0033386860010888963    35.58198443092974        454.7977226002569        2.1349190658557834E-4
0.1745                    0                        3.49698006806441E-4      0.003347171101625605     35.12718670833036        454.7977226002569        2.1076312024998213E-4
0.1755                    0                        3.530493749785627E-4     0.003355547050708897     34.67238898572969        454.7977226002569        2.080343339143781E-4
0.1765                    0                        3.5640906452404097E-4    0.003363813848338752     34.21759126312902        454.7977226002569        2.0530554757877407E-4
0.1775                    0                        3.5977696629142244E-4    0.0033719714945152027    33.762793540535284       454.7977226002569        2.025767612432117E-4
0.1785                    0                        3.6315297112925367E-4    0.003380019989238211     33.30799581792999        454.7977226002569        1.998479749075799E-4
0.1795                    0                        3.6653696988608105E-4    0.0033879593325078033    32.85319809533672        454.7977226002569        1.9711918857202027E-4
0.1805                    0                        3.699288534604514E-4     0.0033957898243239725    32.40340037276487        444.79772260406986       1.944204022365892E-4
0.1815                    0                        3.7332851390091117E-4    0.003403513264686724     31.9586026501557         444.79772260406986       1.9175161590093416E-4
0.1825                    0                        3.767358444060071E-4     0.0034111299535960495    31.513804927545948       444.79772260406986       1.8908282956527566E-4
0.1835                    0                        3.8015073822428546E-4    0.003418639891051949     31.069007204947443       444.79772260406986       1.8641404322968462E-4
0.1845                    0                        3.8357308860429313E-4    0.003426043077054423     30.624209482344025       444.79772260406986       1.837452568940641E-4
0.1855                    0                        3.8700278879457654E-4    0.00343333951160347      30.179411759738205       444.79772260406986       1.810764705584292E-4
0.1865                    0                        3.904397320436823E-4     0.0034405291946990927    29.734614037135277       444.79772260406986       1.7840768422281163E-4
0.1875                    0                        3.9388381160015696E-4    0.0034476121263412956    29.289816314536743       444.79772260406986       1.7573889788722043E-4
0.1885                    0                        3.973349207125471E-4     0.003454588306530072     28.845018591934046       444.79772260406986       1.7307011155160424E-4
0.1895                    0                        4.0079295262939927E-4    0.003461457735265423     28.40022086934014        444.79772260406986       1.704013252160408E-4
0.1905                    0                        4.042578006492601E-4     0.0034682207125473477    27.960423146708905       434.79772259840877       1.677625388802534E-4
0.1915                    0                        4.077293592206762E-4     0.003474879038375846     27.525625424123845       434.79772259840877       1.6515375254474302E-4
0.1925                    0                        4.1120752394219396E-4    0.00348143301275092      27.09082770150964        434.79772259840877       1.6254496620905778E-4
0.1935                    0                        4.146921904623602E-4     0.003487882635672567     26.656029978914372       434.79772259840877       1.5993617987348618E-4
0.1945                    0                        4.181832544297214E-4     0.0034942279071407977    26.221232256317542       434.79772259840877       1.5732739353790522E-4
0.1955                    0                        4.21680611492824E-4      0.003500468827155606     25.78643453372022        434.79772259840877       1.5471860720232128E-4
0.1965                    0                        4.2518415730021474E-4    0.0035066053957169907    25.351636811122667       434.79772259840877       1.5210982086673598E-4
0.1975                    0                        4.2869378750044014E-4    0.003512637612824939     24.91683908852766        434.79772259840877       1.4950103453116592E-4
0.1985                    0                        4.3220939774204684E-4    0.003518565478479478     24.482041365928026       434.79772259840877       1.4689224819556813E-4
